    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  -------------------------------------------------------------------------------------------
  9.500E-01 2.45109E-16  3.743E-06  1.274E-08  9.102E-09  2.785E-14  5.591E-14  1.00E-07
  9.750E-01 2.45071E-16  3.842E-06  1.274E-08  9.102E-09  2.858E-14  5.738E-14  1.00E-07
  1.000E+00 2.45032E-16  3.940E-06  1.274E-08  9.102E-09  2.930E-14  5.885E-14  1.00E-07
  1.100E+00 2.44866E-16  4.336E-06  1.273E-08  9.101E-09  3.220E-14  6.473E-14  1.00E-07
  1.200E+00 2.44685E-16  4.732E-06  1.272E-08  9.100E-09  3.510E-14  7.061E-14  1.00E-07
  1.300E+00 2.44488E-16  5.129E-06  1.272E-08  9.098E-09  3.798E-14  7.648E-14  1.00E-07
  1.400E+00 2.44276E-16  5.526E-06  1.271E-08  9.097E-09  4.085E-14  8.236E-14  1.00E-07
  1.500E+00 2.44049E-16  5.924E-06  1.270E-08  9.096E-09  4.372E-14  8.823E-14  1.00E-07
  1.600E+00 2.43806E-16  6.323E-06  1.269E-08  9.094E-09  4.657E-14  9.410E-14  1.00E-07
  1.700E+00 2.43548E-16  6.722E-06  1.268E-08  9.093E-09  4.941E-14  9.996E-14  1.00E-07
  1.800E+00 2.43274E-16  7.123E-06  1.267E-08  9.091E-09  5.224E-14  1.058E-13  1.00E-07
  1.900E+00 2.42985E-16  7.523E-06  1.266E-08  9.089E-09  5.505E-14  1.117E-13  1.00E-07
  2.000E+00 2.42682E-16  7.925E-06  1.265E-08  9.087E-09  5.785E-14  1.175E-13  1.00E-07
  2.100E+00 2.42363E-16  8.328E-06  1.264E-08  9.085E-09  6.063E-14  1.234E-13  1.00E-07
  2.200E+00 2.42029E-16  8.732E-06  1.263E-08  9.083E-09  6.340E-14  1.293E-13  1.00E-07
  2.300E+00 2.41680E-16  9.136E-06  1.262E-08  9.081E-09  6.615E-14  1.351E-13  1.00E-07
  2.400E+00 2.41317E-16  9.542E-06  1.261E-08  9.078E-09  6.889E-14  1.409E-13  1.00E-07
  2.500E+00 2.40939E-16  9.948E-06  1.259E-08  9.076E-09  7.160E-14  1.468E-13  1.00E-07
  2.600E+00 2.40546E-16  1.036E-05  1.258E-08  9.074E-09  7.430E-14  1.526E-13  1.00E-07
  2.700E+00 2.40139E-16  1.077E-05  1.256E-08  9.071E-09  7.698E-14  1.585E-13  1.00E-07
  2.800E+00 2.39717E-16  1.118E-05  1.255E-08  9.068E-09  7.964E-14  1.643E-13  1.00E-07
  2.900E+00 2.39281E-16  1.159E-05  1.253E-08  9.065E-09  8.228E-14  1.701E-13  1.00E-07
  3.000E+00 2.38831E-16  1.200E-05  1.252E-08  9.063E-09  8.489E-14  1.759E-13  1.00E-07
  3.100E+00 2.38367E-16  1.241E-05  1.250E-08  9.060E-09  8.749E-14  1.817E-13  1.00E-07
  3.200E+00 2.37889E-16  1.283E-05  1.248E-08  9.056E-09  9.006E-14  1.876E-13  1.00E-07
  3.300E+00 2.37397E-16  1.325E-05  1.247E-08  9.053E-09  9.261E-14  1.934E-13  1.00E-07
  3.400E+00 2.36891E-16  1.366E-05  1.245E-08  9.050E-09  9.513E-14  1.992E-13  1.00E-07
  3.500E+00 2.36372E-16  1.408E-05  1.243E-08  9.047E-09  9.763E-14  2.050E-13  1.00E-07
  3.600E+00 2.35839E-16  1.451E-05  1.241E-08  9.043E-09  1.001E-13  2.107E-13  1.00E-07
  3.700E+00 2.35293E-16  1.493E-05  1.239E-08  9.040E-09  1.026E-13  2.165E-13  1.00E-07
  3.800E+00 2.34734E-16  1.535E-05  1.237E-08  9.036E-09  1.050E-13  2.223E-13  1.00E-07
  3.900E+00 2.34162E-16  1.578E-05  1.235E-08  9.032E-09  1.074E-13  2.281E-13  1.00E-07
  4.000E+00 2.33576E-16  1.621E-05  1.233E-08  9.028E-09  1.097E-13  2.338E-13  1.00E-07
  4.100E+00 2.32978E-16  1.664E-05  1.231E-08  9.024E-09  1.121E-13  2.396E-13  1.00E-07
  4.200E+00 2.32368E-16  1.707E-05  1.229E-08  9.020E-09  1.144E-13  2.454E-13  1.00E-07
  4.300E+00 2.31745E-16  1.750E-05  1.227E-08  9.016E-09  1.167E-13  2.511E-13  1.00E-07
  4.400E+00 2.31109E-16  1.794E-05  1.224E-08  9.012E-09  1.189E-13  2.568E-13  1.00E-07
  4.500E+00 2.30461E-16  1.838E-05  1.222E-08  9.008E-09  1.211E-13  2.626E-13  1.00E-07
