

  **** PARTIAL WAVE ANALYSIS (DPWA0) ******************************************


  KINETIC ENERGY = 5.00000E+01 eV

      L       PHASE(SPIN UP)     PHASE(SPIN DOWN)
  -----------------------------------------------
       0      8.89042173E-01      0.00000000E+00
       1     -1.10694870E+00     -1.10500385E+00
       2      4.66327493E-01      4.66468521E-01
       3      1.12597899E-01      1.12618352E-01
       4      3.16614271E-02      3.16663782E-02
       5      9.48647247E-03      9.48786733E-03
       6      2.93913410E-03      2.93955152E-03
       7      9.30074631E-04      9.30203671E-04
       8      2.98648684E-04      2.98689428E-04
       9      9.69055839E-05      9.69186421E-05
      10      3.16838860E-05      3.16881168E-05
      11      1.04169335E-05      1.04183153E-05
      12      3.43882316E-06      3.43927706E-06
      13      1.13862714E-06      1.13877688E-06
      14      3.77846734E-07      3.77896288E-07
      15      1.25592859E-07      1.25609298E-07
      16      4.17973494E-08      4.18028093E-08
      17      1.39230482E-08      1.39248585E-08
      18      4.64110339E-09      4.64170925E-09
      19      1.54784781E-09      1.54805100E-09
      20      5.16424820E-10      5.16492094E-10
      21      1.72359300E-10      1.72383017E-10


  *** SCATTERING AMPLITUDES AND DIFFERENTIAL CROSS SECTION ***

    ANGLE      DCS       ASYMMETRY    DIRECT AMPLITUDE       SPIN-FLIP AMPLITUDE     ERROR
    (deg)   (cm**2/sr)                      (cm)                    (cm)
  2.900E+00 1.76139E-16 -3.277E-07  6.920E-09  1.132E-08 -9.886E-14 -1.660E-13  1.00E-07
  3.000E+00 1.76053E-16 -3.320E-07  6.917E-09  1.132E-08 -1.023E-13 -1.717E-13  1.00E-07
  3.100E+00 1.75963E-16 -3.357E-07  6.913E-09  1.132E-08 -1.057E-13 -1.774E-13  1.00E-07
  3.200E+00 1.75870E-16 -3.386E-07  6.909E-09  1.132E-08 -1.091E-13 -1.831E-13  1.00E-07
  3.300E+00 1.75775E-16 -3.408E-07  6.904E-09  1.132E-08 -1.126E-13 -1.888E-13  1.00E-07
  3.400E+00 1.75677E-16 -3.422E-07  6.900E-09  1.132E-08 -1.160E-13 -1.946E-13  1.00E-07
  3.500E+00 1.75576E-16 -3.427E-07  6.896E-09  1.131E-08 -1.194E-13 -2.003E-13  1.00E-07
  3.600E+00 1.75472E-16 -3.425E-07  6.891E-09  1.131E-08 -1.228E-13 -2.060E-13  1.00E-07
  3.700E+00 1.75365E-16 -3.414E-07  6.886E-09  1.131E-08 -1.263E-13 -2.117E-13  1.00E-07
  3.800E+00 1.75255E-16 -3.394E-07  6.882E-09  1.131E-08 -1.297E-13 -2.175E-13  1.00E-07
  3.900E+00 1.75143E-16 -3.365E-07  6.877E-09  1.131E-08 -1.331E-13 -2.232E-13  1.00E-07
  4.000E+00 1.75028E-16 -3.327E-07  6.872E-09  1.131E-08 -1.366E-13 -2.289E-13  1.00E-07
  4.100E+00 1.74910E-16 -3.279E-07  6.866E-09  1.130E-08 -1.400E-13 -2.346E-13  1.00E-07
  4.200E+00 1.74789E-16 -3.222E-07  6.861E-09  1.130E-08 -1.434E-13 -2.404E-13  1.00E-07
  4.300E+00 1.74665E-16 -3.154E-07  6.856E-09  1.130E-08 -1.469E-13 -2.461E-13  1.00E-07
  4.400E+00 1.74538E-16 -3.076E-07  6.850E-09  1.130E-08 -1.503E-13 -2.518E-13  1.00E-07
  4.500E+00 1.74409E-16 -2.988E-07  6.844E-09  1.129E-08 -1.537E-13 -2.575E-13  1.00E-07
  4.600E+00 1.74277E-16 -2.889E-07  6.838E-09  1.129E-08 -1.572E-13 -2.632E-13  1.00E-07
  4.700E+00 1.74142E-16 -2.778E-07  6.832E-09  1.129E-08 -1.606E-13 -2.690E-13  1.00E-07
  4.800E+00 1.74005E-16 -2.657E-07  6.826E-09  1.129E-08 -1.641E-13 -2.747E-13  1.00E-07
