 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   8,   projectile: electron
 #  Kinetic energy = 1.74000E+02 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  2.000E-01  3.04617E-06  1.16784E-08  9.58568E-09  3.16285E-18  7.20508E-15
  2.250E-01  3.85531E-06  1.16782E-08  9.58563E-09  3.41053E-18  8.10568E-15
  2.500E-01  4.75964E-06  1.16779E-08  9.58558E-09  3.60609E-18  9.00627E-15
  2.750E-01  5.75916E-06  1.16777E-08  9.58553E-09  3.74375E-18  9.90684E-15
  3.000E-01  6.85388E-06  1.16774E-08  9.58547E-09  3.81770E-18  1.08074E-14
  3.250E-01  8.04378E-06  1.16771E-08  9.58540E-09  3.82218E-18  1.17079E-14
  3.500E-01  9.32888E-06  1.16768E-08  9.58533E-09  3.75138E-18  1.26084E-14
  3.750E-01  1.07092E-05  1.16764E-08  9.58525E-09  3.59953E-18  1.35089E-14
  4.000E-01  1.21846E-05  1.16760E-08  9.58517E-09  3.36084E-18  1.44094E-14
  4.250E-01  1.37553E-05  1.16756E-08  9.58508E-09  3.02953E-18  1.53099E-14
  4.500E-01  1.54212E-05  1.16752E-08  9.58499E-09  2.59980E-18  1.62103E-14
  4.750E-01  1.71822E-05  1.16748E-08  9.58489E-09  2.06589E-18  1.71107E-14
  5.000E-01  1.90385E-05  1.16743E-08  9.58479E-09  1.42201E-18  1.80110E-14
  5.250E-01  2.09899E-05  1.16738E-08  9.58468E-09  6.62378E-19  1.89114E-14
  5.500E-01  2.30365E-05  1.16733E-08  9.58456E-09 -2.18781E-19  1.98117E-14
  5.750E-01  2.51783E-05  1.16727E-08  9.58444E-09 -1.22725E-18  2.07120E-14
  6.000E-01  2.74153E-05  1.16722E-08  9.58432E-09 -2.36879E-18  2.16122E-14
  6.250E-01  2.97475E-05  1.16716E-08  9.58419E-09 -3.64919E-18  2.25124E-14
  6.500E-01  3.21749E-05  1.16710E-08  9.58405E-09 -5.07421E-18  2.34126E-14
  6.750E-01  3.46974E-05  1.16703E-08  9.58391E-09 -6.64963E-18  2.43127E-14
  7.000E-01  3.73152E-05  1.16697E-08  9.58377E-09 -8.38122E-18  2.52128E-14
  7.250E-01  4.00281E-05  1.16690E-08  9.58361E-09 -1.02747E-17  2.61128E-14
  7.500E-01  4.28362E-05  1.16683E-08  9.58346E-09 -1.23360E-17  2.70128E-14
  7.750E-01  4.57395E-05  1.16675E-08  9.58329E-09 -1.45706E-17  2.79128E-14
  8.000E-01  4.87380E-05  1.16668E-08  9.58313E-09 -1.69846E-17  2.88127E-14
  8.250E-01  5.18317E-05  1.16660E-08  9.58295E-09 -1.95834E-17  2.97125E-14
  8.500E-01  5.50205E-05  1.16652E-08  9.58278E-09 -2.23731E-17  3.06124E-14
  8.750E-01  5.83045E-05  1.16643E-08  9.58259E-09 -2.53592E-17  3.15121E-14
  9.000E-01  6.16838E-05  1.16635E-08  9.58240E-09 -2.85476E-17  3.24118E-14
  9.250E-01  6.51582E-05  1.16626E-08  9.58221E-09 -3.19440E-17  3.33115E-14
  9.500E-01  6.87277E-05  1.16617E-08  9.58201E-09 -3.55541E-17  3.42111E-14
  9.750E-01  7.23925E-05  1.16608E-08  9.58181E-09 -3.93838E-17  3.51106E-14
  1.000E+00  7.61524E-05  1.16598E-08  9.58160E-09 -4.34386E-17  3.60101E-14
  1.100E+00  9.21439E-05  1.16557E-08  9.58070E-09 -6.20253E-17  3.96075E-14
  1.200E+00  1.09658E-04  1.16513E-08  9.57973E-09 -8.46748E-17  4.32037E-14
  1.300E+00  1.28695E-04  1.16465E-08  9.57866E-09 -1.11753E-16  4.67989E-14
  1.400E+00  1.49255E-04  1.16413E-08  9.57752E-09 -1.43626E-16  5.03928E-14
  1.500E+00  1.71338E-04  1.16357E-08  9.57628E-09 -1.80658E-16  5.39853E-14
  1.600E+00  1.94942E-04  1.16297E-08  9.57497E-09 -2.23213E-16  5.75764E-14
  1.700E+00  2.20070E-04  1.16233E-08  9.57356E-09 -2.71654E-16  6.11660E-14
  1.800E+00  2.46720E-04  1.16166E-08  9.57208E-09 -3.26342E-16  6.47540E-14
  1.900E+00  2.74892E-04  1.16095E-08  9.57051E-09 -3.87639E-16  6.83402E-14
  2.000E+00  3.04586E-04  1.16020E-08  9.56885E-09 -4.55902E-16  7.19247E-14
  2.100E+00  3.35803E-04  1.15941E-08  9.56711E-09 -5.31492E-16  7.55072E-14
  2.200E+00  3.68542E-04  1.15859E-08  9.56528E-09 -6.14764E-16  7.90877E-14
  2.300E+00  4.02802E-04  1.15772E-08  9.56337E-09 -7.06074E-16  8.26662E-14
  2.400E+00  4.38585E-04  1.15682E-08  9.56138E-09 -8.05777E-16  8.62424E-14
  2.500E+00  4.75889E-04  1.15588E-08  9.55930E-09 -9.14225E-16  8.98163E-14
  2.600E+00  5.14715E-04  1.15491E-08  9.55714E-09 -1.03177E-15  9.33879E-14
  2.700E+00  5.55063E-04  1.15389E-08  9.55489E-09 -1.15876E-15  9.69570E-14
  2.800E+00  5.96931E-04  1.15284E-08  9.55256E-09 -1.29554E-15  1.00524E-13
  2.900E+00  6.40321E-04  1.15176E-08  9.55014E-09 -1.44247E-15  1.04087E-13
  3.000E+00  6.85233E-04  1.15063E-08  9.54764E-09 -1.59987E-15  1.07648E-13
  3.100E+00  7.31665E-04  1.14947E-08  9.54506E-09 -1.76811E-15  1.11207E-13
  3.200E+00  7.79618E-04  1.14827E-08  9.54239E-09 -1.94751E-15  1.14762E-13
  3.300E+00  8.29092E-04  1.14704E-08  9.53964E-09 -2.13842E-15  1.18314E-13
  3.400E+00  8.80086E-04  1.14577E-08  9.53680E-09 -2.34117E-15  1.21863E-13
  3.500E+00  9.32601E-04  1.14446E-08  9.53388E-09 -2.55610E-15  1.25409E-13
  3.600E+00  9.86636E-04  1.14311E-08  9.53087E-09 -2.78353E-15  1.28952E-13
  3.700E+00  1.04219E-03  1.14173E-08  9.52779E-09 -3.02381E-15  1.32491E-13
  3.800E+00  1.09927E-03  1.14032E-08  9.52462E-09 -3.27726E-15  1.36027E-13
  3.900E+00  1.15786E-03  1.13887E-08  9.52136E-09 -3.54421E-15  1.39559E-13
  4.000E+00  1.21797E-03  1.13738E-08  9.51802E-09 -3.82497E-15  1.43087E-13
  4.100E+00  1.27961E-03  1.13586E-08  9.51460E-09 -4.11987E-15  1.46611E-13
  4.200E+00  1.34276E-03  1.13430E-08  9.51109E-09 -4.42923E-15  1.50132E-13
  4.300E+00  1.40743E-03  1.13270E-08  9.50751E-09 -4.75337E-15  1.53649E-13
  4.400E+00  1.47362E-03  1.13108E-08  9.50383E-09 -5.09259E-15  1.57161E-13
  4.500E+00  1.54133E-03  1.12941E-08  9.50008E-09 -5.44722E-15  1.60670E-13
  4.600E+00  1.61056E-03  1.12772E-08  9.49624E-09 -5.81756E-15  1.64174E-13
  4.700E+00  1.68131E-03  1.12598E-08  9.49232E-09 -6.20391E-15  1.67674E-13
  4.800E+00  1.75357E-03  1.12422E-08  9.48832E-09 -6.60658E-15  1.71170E-13
  4.900E+00  1.82735E-03  1.12241E-08  9.48423E-09 -7.02587E-15  1.74660E-13
  5.000E+00  1.90265E-03  1.12058E-08  9.48006E-09 -7.46207E-15  1.78147E-13
  5.100E+00  1.97947E-03  1.11871E-08  9.47581E-09 -7.91550E-15  1.81628E-13
  5.200E+00  2.05780E-03  1.11681E-08  9.47148E-09 -8.38642E-15  1.85105E-13
  5.300E+00  2.13765E-03  1.11487E-08  9.46706E-09 -8.87514E-15  1.88577E-13
  5.400E+00  2.21902E-03  1.11290E-08  9.46257E-09 -9.38194E-15  1.92044E-13
  5.500E+00  2.30190E-03  1.11090E-08  9.45799E-09 -9.90710E-15  1.95506E-13
  5.600E+00  2.38630E-03  1.10887E-08  9.45332E-09 -1.04509E-14  1.98962E-13
  5.700E+00  2.47222E-03  1.10680E-08  9.44858E-09 -1.10136E-14  2.02414E-13
  5.800E+00  2.55965E-03  1.10470E-08  9.44376E-09 -1.15956E-14  2.05860E-13
  5.900E+00  2.64859E-03  1.10257E-08  9.43885E-09 -1.21970E-14  2.09301E-13
  6.000E+00  2.73905E-03  1.10041E-08  9.43386E-09 -1.28181E-14  2.12736E-13
  6.100E+00  2.83103E-03  1.09821E-08  9.42879E-09 -1.34592E-14  2.16165E-13
  6.200E+00  2.92452E-03  1.09598E-08  9.42364E-09 -1.41206E-14  2.19589E-13
  6.300E+00  3.01952E-03  1.09372E-08  9.41841E-09 -1.48025E-14  2.23007E-13
  6.400E+00  3.11604E-03  1.09143E-08  9.41309E-09 -1.55052E-14  2.26419E-13
  6.500E+00  3.21407E-03  1.08911E-08  9.40770E-09 -1.62289E-14  2.29826E-13
  6.600E+00  3.31362E-03  1.08676E-08  9.40223E-09 -1.69739E-14  2.33226E-13
  6.700E+00  3.41468E-03  1.08438E-08  9.39667E-09 -1.77404E-14  2.36620E-13
  6.800E+00  3.51725E-03  1.08197E-08  9.39103E-09 -1.85287E-14  2.40007E-13
  6.900E+00  3.62133E-03  1.07953E-08  9.38532E-09 -1.93390E-14  2.43389E-13
  7.000E+00  3.72692E-03  1.07706E-08  9.37952E-09 -2.01715E-14  2.46764E-13
  7.100E+00  3.83403E-03  1.07456E-08  9.37365E-09 -2.10265E-14  2.50132E-13
  7.200E+00  3.94265E-03  1.07203E-08  9.36769E-09 -2.19041E-14  2.53494E-13
  7.300E+00  4.05278E-03  1.06947E-08  9.36165E-09 -2.28047E-14  2.56850E-13
  7.400E+00  4.16442E-03  1.06688E-08  9.35554E-09 -2.37284E-14  2.60198E-13
  7.500E+00  4.27757E-03  1.06426E-08  9.34934E-09 -2.46755E-14  2.63540E-13
  7.600E+00  4.39223E-03  1.06162E-08  9.34307E-09 -2.56462E-14  2.66875E-13
  7.700E+00  4.50840E-03  1.05894E-08  9.33672E-09 -2.66406E-14  2.70202E-13
  7.800E+00  4.62608E-03  1.05624E-08  9.33028E-09 -2.76590E-14  2.73523E-13
  7.900E+00  4.74527E-03  1.05351E-08  9.32377E-09 -2.87016E-14  2.76837E-13
  8.000E+00  4.86597E-03  1.05076E-08  9.31718E-09 -2.97687E-14  2.80143E-13
  8.100E+00  4.98817E-03  1.04798E-08  9.31051E-09 -3.08602E-14  2.83442E-13
  8.200E+00  5.11188E-03  1.04517E-08  9.30377E-09 -3.19766E-14  2.86733E-13
  8.300E+00  5.23711E-03  1.04233E-08  9.29694E-09 -3.31179E-14  2.90017E-13
  8.400E+00  5.36383E-03  1.03947E-08  9.29004E-09 -3.42844E-14  2.93293E-13
  8.500E+00  5.49207E-03  1.03658E-08  9.28306E-09 -3.54763E-14  2.96562E-13
  8.600E+00  5.62181E-03  1.03367E-08  9.27600E-09 -3.66936E-14  2.99823E-13
  8.700E+00  5.75306E-03  1.03073E-08  9.26886E-09 -3.79366E-14  3.03076E-13
  8.800E+00  5.88581E-03  1.02776E-08  9.26165E-09 -3.92055E-14  3.06321E-13
  8.900E+00  6.02007E-03  1.02477E-08  9.25435E-09 -4.05003E-14  3.09558E-13
  9.000E+00  6.15583E-03  1.02176E-08  9.24699E-09 -4.18214E-14  3.12787E-13
  9.100E+00  6.29310E-03  1.01872E-08  9.23954E-09 -4.31688E-14  3.16007E-13
  9.200E+00  6.43187E-03  1.01566E-08  9.23202E-09 -4.45427E-14  3.19220E-13
  9.300E+00  6.57214E-03  1.01257E-08  9.22442E-09 -4.59433E-14  3.22424E-13
  9.400E+00  6.71392E-03  1.00946E-08  9.21675E-09 -4.73706E-14  3.25620E-13
  9.500E+00  6.85720E-03  1.00633E-08  9.20899E-09 -4.88249E-14  3.28807E-13
  9.600E+00  7.00198E-03  1.00317E-08  9.20117E-09 -5.03063E-14  3.31986E-13
  9.700E+00  7.14827E-03  9.99991E-09  9.19327E-09 -5.18148E-14  3.35156E-13
  9.800E+00  7.29605E-03  9.96789E-09  9.18529E-09 -5.33508E-14  3.38317E-13
  9.900E+00  7.44534E-03  9.93564E-09  9.17723E-09 -5.49142E-14  3.41469E-13
  1.000E+01  7.59612E-03  9.90318E-09  9.16910E-09 -5.65052E-14  3.44613E-13
  1.025E+01  7.97965E-03  9.82108E-09  9.14845E-09 -6.06043E-14  3.52432E-13
  1.050E+01  8.37255E-03  9.73767E-09  9.12734E-09 -6.48784E-14  3.60193E-13
  1.075E+01  8.77480E-03  9.65299E-09  9.10576E-09 -6.93293E-14  3.67897E-13
  1.100E+01  9.18641E-03  9.56708E-09  9.08372E-09 -7.39585E-14  3.75540E-13
  1.125E+01  9.60736E-03  9.47999E-09  9.06122E-09 -7.87672E-14  3.83122E-13
  1.150E+01  1.00376E-02  9.39176E-09  9.03827E-09 -8.37568E-14  3.90643E-13
  1.175E+01  1.04773E-02  9.30243E-09  9.01487E-09 -8.89283E-14  3.98100E-13
  1.200E+01  1.09262E-02  9.21205E-09  8.99103E-09 -9.42828E-14  4.05492E-13
  1.225E+01  1.13844E-02  9.12066E-09  8.96674E-09 -9.98209E-14  4.12819E-13
  1.250E+01  1.18520E-02  9.02831E-09  8.94201E-09 -1.05543E-13  4.20079E-13
  1.275E+01  1.23288E-02  8.93504E-09  8.91684E-09 -1.11451E-13  4.27272E-13
  1.300E+01  1.28150E-02  8.84088E-09  8.89125E-09 -1.17544E-13  4.34395E-13
  1.325E+01  1.33104E-02  8.74589E-09  8.86522E-09 -1.23822E-13  4.41449E-13
  1.350E+01  1.38150E-02  8.65011E-09  8.83877E-09 -1.30287E-13  4.48431E-13
  1.375E+01  1.43290E-02  8.55357E-09  8.81189E-09 -1.36937E-13  4.55342E-13
  1.400E+01  1.48521E-02  8.45632E-09  8.78460E-09 -1.43773E-13  4.62180E-13
  1.425E+01  1.53845E-02  8.35840E-09  8.75690E-09 -1.50794E-13  4.68943E-13
  1.450E+01  1.59262E-02  8.25986E-09  8.72878E-09 -1.58001E-13  4.75631E-13
  1.475E+01  1.64770E-02  8.16073E-09  8.70026E-09 -1.65393E-13  4.82244E-13
  1.500E+01  1.70371E-02  8.06105E-09  8.67134E-09 -1.72969E-13  4.88779E-13
  1.525E+01  1.76063E-02  7.96086E-09  8.64201E-09 -1.80728E-13  4.95236E-13
  1.550E+01  1.81848E-02  7.86021E-09  8.61230E-09 -1.88671E-13  5.01615E-13
  1.575E+01  1.87724E-02  7.75912E-09  8.58219E-09 -1.96795E-13  5.07914E-13
  1.600E+01  1.93692E-02  7.65765E-09  8.55170E-09 -2.05101E-13  5.14132E-13
  1.625E+01  1.99751E-02  7.55582E-09  8.52083E-09 -2.13587E-13  5.20268E-13
  1.650E+01  2.05901E-02  7.45368E-09  8.48957E-09 -2.22252E-13  5.26322E-13
  1.675E+01  2.12143E-02  7.35125E-09  8.45795E-09 -2.31094E-13  5.32293E-13
  1.700E+01  2.18476E-02  7.24859E-09  8.42596E-09 -2.40113E-13  5.38179E-13
  1.725E+01  2.24900E-02  7.14571E-09  8.39360E-09 -2.49306E-13  5.43981E-13
  1.750E+01  2.31415E-02  7.04266E-09  8.36088E-09 -2.58674E-13  5.49697E-13
  1.775E+01  2.38021E-02  6.93948E-09  8.32780E-09 -2.68213E-13  5.55327E-13
  1.800E+01  2.44717E-02  6.83618E-09  8.29438E-09 -2.77923E-13  5.60869E-13
